training_seed,condition_id,condition_family,condition_description,joint_zero_based,joint_one_based,episode_index,reset_seed,success_kinematic,success_rotation_only_sensitivity,initial_body_length,forward_displacement,forward_body_lengths,net_best_fit_rotation_degrees,desired_net_rotation_degrees,desired_revolutions,desired_active_rotation_fraction,roll_pulse_count_diagnostic_only,contact_metric_source_diagnostic_only,mean_abs_k1,mean_abs_k2,mean_torque_boundary_saturation_fraction
9203,BASELINE,global,Unmodified learned HPR outputs,,,11,20264111,False,False,8.988626425616648,15.909706316422671,1.7699819263910743,-268.02775202753423,268.02775202753423,0.7445215334098173,0.6962305986696231,0,legacy_position_height_proxy,112.6102888923604,133.72073540836573,0.8468749999999999
9203,BASELINE,global,Unmodified learned HPR outputs,,,12,20264112,True,True,8.995767124033947,23.374560255580583,2.59839543790889,-497.83481112289047,497.83481112289047,1.3828744753413624,0.8240343347639485,0,legacy_position_height_proxy,115.47155265551993,132.79257135093212,0.856125
9203,BASELINE,global,Unmodified learned HPR outputs,,,13,20264113,True,True,9.01181333849076,18.481517818383875,2.0508101004984907,-452.2215946946689,452.2215946946689,1.2561710963740802,0.8382838283828383,0,legacy_position_height_proxy,113.64679137738422,134.14610612764955,0.84825
9203,BASELINE,global,Unmodified learned HPR outputs,,,14,20264114,False,False,8.974434140090448,8.094153765251395,0.9019124369182588,-32.47799624922896,32.47799624922896,0.09021665624785821,0.5920177383592018,0,legacy_position_height_proxy,107.67263703309,136.6138238515705,0.821625
9203,BASELINE,global,Unmodified learned HPR outputs,,,15,20264115,True,True,9.009377445798682,27.02771233613603,2.99995338176666,-580.0919532378033,580.0919532378033,1.6113665367716759,0.8551351351351352,0,legacy_position_height_proxy,114.95189703176729,133.69060608148575,0.85375
9203,BASELINE,global,Unmodified learned HPR outputs,,,16,20264116,True,True,9.0032829011452,16.93231250725221,1.8806820460010707,-398.9028999318616,398.9028999318616,1.1080636109218378,0.7827510917030568,0,legacy_position_height_proxy,116.40980921708979,132.40721850115807,0.844625
9203,BASELINE,global,Unmodified learned HPR outputs,,,17,20264117,False,False,8.993974183629202,12.961070550978183,1.4410838063744806,-279.8416617229727,279.8416617229727,0.7773379492304796,0.7180910099889012,0,legacy_position_height_proxy,118.09378541260958,131.42859009057284,0.850125
9203,BASELINE,global,Unmodified learned HPR outputs,,,18,20264118,False,False,9.019045955195168,5.591262375377119,0.6199394484908273,-89.54265957073457,89.54265957073457,0.24872960991870713,0.6008869179600886,0,legacy_position_height_proxy,118.90662063304336,129.40468977298588,0.8265
9203,BASELINE,global,Unmodified learned HPR outputs,,,19,20264119,False,False,9.000962424282566,19.389554958976806,2.154164637624546,-295.4481003333353,295.4481003333353,0.820689167592598,0.7111356119073869,0,legacy_position_height_proxy,112.15810121376998,134.0119225917384,0.8454999999999999
9203,BASELINE,global,Unmodified learned HPR outputs,,,20,20264120,False,False,8.99300899070223,9.931345278257504,1.1043406371021547,16.13915314854457,-16.13915314854457,-0.044830980968179356,0.5114155251141552,0,legacy_position_height_proxy,109.20280187320895,135.1422415977344,0.8360000000000001
9203,GLOBAL_K1_OFF,global,Disable learned K1 at all joints,,,1,20264101,False,False,9.005046172532081,4.105574416741729,0.4559193076949326,2.2358732273845847,-2.2358732273845847,-0.0062107589649571795,0.48084054388133496,0,legacy_position_height_proxy,0.0,131.23711150474847,0.769625
9203,GLOBAL_K1_OFF,global,Disable learned K1 at all joints,,,2,20264102,False,False,8.992629925424678,3.230365369003266,0.3592236526791924,0.9918405183062572,-0.9918405183062572,-0.0027551125508507145,0.4936868686868687,0,legacy_position_height_proxy,0.0,129.94682327993215,0.76025
