training_seed,id,family,description,op,joint_zero_based,joint_one_based,episode_count,kinematic_success_count,kinematic_success_rate,rotation_only_success_count,desired_revolutions_mean,desired_revolutions_sample_sd,direction_fraction_mean,direction_fraction_sample_sd,forward_body_lengths_mean,forward_body_lengths_sample_sd,mean_abs_k1,mean_abs_k2,mean_torque_boundary_saturation_fraction,wall_seconds
9203,J07_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J07,joint_both_off,6,7,20,0,0.0,0,0.21756091588520424,0.14718777697920687,0.5705319291927972,0.04387152124054018,0.466418823714066,0.2580338706014851,102.24678223670693,110.94490334498695,0.7223374999999999,23.04509020000114
9203,J08_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J08,joint_both_off,7,8,20,11,0.55,11,0.9824854219725131,0.749140822755773,0.7381377974103857,0.14565279943315482,1.7632680491243076,0.8394645145470262,100.20053740995004,115.95427997762337,0.7500187500000001,23.174371299988707
9203,J01_ONLY,single_joint_retention,Retain only J01; disable both learned channels at the other joints,joint_only,0,1,20,0,0.0,0,0.0020473607950243266,0.0004218292989503181,0.6362255062719688,0.11691788591707196,-0.008038064931171878,0.0037532384123908267,19.456316327527166,13.453987131435422,0.01395625,22.92836740000348
9203,J02_ONLY,single_joint_retention,Retain only J02; disable both learned channels at the other joints,joint_only,1,2,20,0,0.0,0,1.1643237394344024e-05,0.00024136594651621068,0.5199603174603176,0.3180269150501599,-6.328862114084807e-05,0.0001251067380099681,21.766965776160358,9.85860753506422,0.00020625,23.16935549999471
9203,J03_ONLY,single_joint_retention,Retain only J03; disable both learned channels at the other joints,joint_only,2,3,20,0,0.0,0,1.1633696009067516e-05,0.00024136818765698955,0.5429829471354239,0.32146371741948576,-1.772560860130593e-06,6.133662812953139e-05,16.33104476310313,5.119668062478304,0.00011250000000000001,23.23720719999983
9203,J04_ONLY,single_joint_retention,Retain only J04; disable both learned channels at the other joints,joint_only,3,4,20,0,0.0,0,1.9192556792400548e-05,0.0002406663018316046,0.5671163430867378,0.3065524427274763,-3.2356880533579075e-05,0.00014364894958515526,4.536296298392117,24.60059217110276,0.07839375,23.005072600004496
9203,J05_ONLY,single_joint_retention,Retain only J05; disable both learned channels at the other joints,joint_only,4,5,20,0,0.0,0,-0.0004923289557576523,0.0002898035565710474,0.5263189552920674,0.049145067130970756,0.011782053437377538,0.0020135101532066813,16.968401920758186,22.44326929658651,0.12398749999999999,22.79084729999886
9203,J06_ONLY,single_joint_retention,Retain only J06; disable both learned channels at the other joints,joint_only,5,6,20,0,0.0,0,-0.0012655651827842402,0.00038036975078194185,0.588844131800737,0.012925666251910417,0.050639508282993725,0.009902748100600869,8.440958312237635,16.149498776290567,0.1238,23.04070880000654
9203,J07_ONLY,single_joint_retention,Retain only J07; disable both learned channels at the other joints,joint_only,6,7,20,0,0.0,0,-4.167000443073608e-05,0.00024052004491361976,0.5994465765088332,0.14414167569354758,0.0001366479175416131,0.00013675996926299636,8.144744321964682,20.5269845995307,0.0690375,22.86019030000898
9203,J08_ONLY,single_joint_retention,Retain only J08; disable both learned channels at the other joints,joint_only,7,8,20,0,0.0,0,-0.00010349198196254958,0.00022532593928495848,0.6096346936055198,0.11547181121815818,9.286508188959131e-05,0.00022785992583222218,10.486670361142604,17.850878937244413,0.06694375,22.96352000000479
9203,J01_K1_OFF,joint_k1_ablation,Disable only learned K1 at J01,joint_k1_off,0,1,20,0,0.0,0,-0.002277122855806222,0.0050530002549116,0.5085072104091011,0.019174390665129576,0.8543091278203369,0.28129001138257,91.7471579112485,130.4526110311877,0.77970625,22.70242469999357
9203,J02_K1_OFF,joint_k1_ablation,Disable only learned K1 at J02,joint_k1_off,1,2,20,0,0.0,0,-0.002595840580394144,0.003362495549665874,0.5023782117315816,0.021364976395615198,0.7219415903212305,0.1962793658176241,86.51546256183414,132.46753998092376,0.76999375,23.012543800010462
9203,J03_K1_OFF,joint_k1_ablation,Disable only learned K1 at J03,joint_k1_off,2,3,20,0,0.0,0,0.018574388910962927,0.006338894167480379,0.5291935898647637,0.013408136927232429,2.0157680802091464,0.26671931955593364,94.4426667593373,135.9182407763135,0.8043875,23.02903210000659
9203,J04_K1_OFF,joint_k1_ablation,Disable only learned K1 at J04,joint_k1_off,3,4,20,0,0.0,0,0.030077503573633767,0.020604275941819312,0.5825343595020164,0.009430508744840398,1.9615760444996506,0.20440265976825175,107.83329534307586,130.89200994016602,0.8823624999999999,22.4623711000022
9203,J05_K1_OFF,joint_k1_ablation,Disable only learned K1 at J05,joint_k1_off,4,5,20,6,0.3,6,0.7973357822298964,0.4713370460178083,0.7094287576292733,0.10086633765462417,1.750938725969726,0.567659115016258,98.65142638677266,133.05141476172022,0.8502749999999999,22.94608709999011
9203,J06_K1_OFF,joint_k1_ablation,Disable only learned K1 at J06,joint_k1_off,5,6,20,0,0.0,0,0.07853150366537577,0.07770510526915532,0.5590473000397367,0.02641666398331933,0.9529934588590591,0.27856189836399553,92.82249280031071,139.24546883418225,0.8549499999999999,23.050529000000097
9203,J07_K1_OFF,joint_k1_ablation,Disable only learned K1 at J07,joint_k1_off,6,7,20,0,0.0,0,0.21875000874204648,0.12621114231188585,0.554282851695423,0.02954118239370047,0.9098450547704315,0.2991878393149681,101.90788471775826,131.49204647657461,0.8357875,22.73285709999618
9203,J08_K1_OFF,joint_k1_ablation,Disable only learned K1 at J08,joint_k1_off,7,8,20,3,0.15,3,0.5822157785670272,0.44133230203191665,0.6595405368294183,0.10130443932168451,1.6671145100644935,0.4844321512927983,99.19228341207841,134.3427493101079,0.8344687499999999,22.82885570000508
9203,J01_K2_OFF,joint_k2_ablation,Disable only learned K2 at J01,joint_k2_off,0,1,20,2,0.1,2,0.32368262532233216,0.3997859054841118,0.5767663679333875,0.10272138634004824,0.7305881673203484,0.8698072819484812,110.06462847881252,119.50994570435955,0.8701375,22.801823800007696
9203,J02_K2_OFF,joint_k2_ablation,Disable only learned K2 at J02,joint_k2_off,1,2,20,8,0.4,8,0.7862548064363585,0.5027197225478084,0.6789457044573797,0.08834541390401182,1.6953486888241716,0.5439914351679143,113.13678378992014,126.22931700777262,0.8658374999999999,23.509973499996704
9203,J03_K2_OFF,joint_k2_ablation,Disable only learned K2 at J03,joint_k2_off,2,3,20,7,0.35,8,0.7848747294812397,0.4079080644145372,0.697141909191658,0.08819501381972292,1.8124542735820435,0.6102148641717908,118.12948278449944,128.27384725860318,0.8704124999999999,22.893901700008428
9203,J04_K2_OFF,joint_k2_ablation,Disable only learned K2 at J04,joint_k2_off,3,4,20,6,0.3,7,0.7362114438595614,0.46516193718853116,0.6481219465553825,0.08216538937100178,1.4897824572659286,0.6104018117049439,117.90272400623886,108.42455345685593,0.85639375,22.610097400000086
9203,J05_K2_OFF,joint_k2_ablation,Disable only learned K2 at J05,joint_k2_off,4,5,20,1,0.05,1,0.37955412074677025,0.3769465444174151,0.6283889431629125,0.09810026563813755,0.611080221885502,0.4316443853004115,113.56211862462806,107.41779379433952,0.79403125,22.631738100011717
9203,J06_K2_OFF,joint_k2_ablation,Disable only learned K2 at J06,joint_k2_off,5,6,20,4,0.2,4,0.4690155086330396,0.3528725839122239,0.6253189115703839,0.09151235467018728,0.6657889094544462,0.4945972393770796,122.77809922327988,111.08440080873667,0.8116625,22.8101769000059
9203,J07_K2_OFF,joint_k2_ablation,Disable only learned K2 at J07,joint_k2_off,6,7,20,4,0.2,4,0.4784937453418294,0.4929261928115389,0.6520996941815315,0.12734822671794008,0.9762904155609968,0.6343334209303255,112.00641981346766,113.99293180336242,0.8112375000000001,22.858600799998385
9203,J08_K2_OFF,joint_k2_ablation,Disable only learned K2 at J08,joint_k2_off,7,8,20,0,0.0,0,0.27809007235628014,0.27736423973597424,0.6125280109280934,0.06968566991384365,0.6117152887900847,0.4779981062504123,118.00982048713135,116.87148168993183,0.8759062499999999,23.08238760000677
