training_seed,condition_id,condition_family,joint_one_based,success_count,success_rate,success_rate_delta_vs_baseline,desired_revolutions_mean,desired_revolutions_delta_mean,desired_revolutions_delta_ci_low,desired_revolutions_delta_ci_high,forward_body_lengths_mean,forward_body_lengths_delta_mean,forward_body_lengths_delta_ci_low,forward_body_lengths_delta_ci_high,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_delta_mean,desired_active_rotation_fraction_delta_ci_low,desired_active_rotation_fraction_delta_ci_high
9201,J07_BOTH_OFF,whole_joint_ablation,7.0,17,0.85,-0.15000000000000002,1.775097298717015,-0.4914087381844645,-0.7779939116007256,-0.20162014813623763,2.522069516136238,-0.6064785069227457,-0.9646871618858988,-0.2546125512997957,0.7997427943827125,-0.05098869718572252,-0.09536269879653576,-0.010648532857970176
9201,J08_BOTH_OFF,whole_joint_ablation,8.0,20,1.0,0.0,2.6991270834785093,0.43262104657702916,0.2062351463505716,0.6584763228678678,3.13241659197831,0.0038685689193265205,-0.19587467126287697,0.20608916165271662,0.9165373410551834,0.06580584948674832,0.04589478840171305,0.08770790451797061
9201,J01_ONLY,single_joint_retention,1.0,0,0.0,-1.0,0.00508366775590941,-2.261422369145571,-2.4360624974195484,-2.0719063572312706,-0.027530548971176738,-3.15607857203016,-3.3047351281871853,-3.008840322517125,0.47163233435005114,-0.3790991572183839,-0.3977668582729562,-0.3566610589249775
9201,J02_ONLY,single_joint_retention,2.0,0,0.0,-1.0,-0.00011660476038022143,-2.2666226416618604,-2.4393274074594373,-2.077658481725127,-6.55763431888147e-05,-3.128613599402173,-3.2799673203591797,-2.9809755965671236,0.49147061038229556,-0.35926088118613947,-0.3944120237828613,-0.3212290773809254
9201,J03_ONLY,single_joint_retention,3.0,0,0.0,-1.0,6.0842915481915974e-05,-2.266445193985998,-2.4409315055611054,-2.0783232614390976,-0.007267820295621808,-3.1358158433546053,-3.2855141636455953,-2.982970517442959,0.5853381419966619,-0.265393349571773,-0.29196412658381443,-0.23686629681902463
9201,J04_ONLY,single_joint_retention,4.0,0,0.0,-1.0,1.1650292684804438e-05,-2.2664943866087954,-2.4422008812543363,-2.0773455663756186,1.3647981341265953e-05,-3.128534375077643,-3.279257687955919,-2.981966893879748,0.49555082757494623,-0.3551806639934888,-0.48079910745209925,-0.23638058809491266
9201,J05_ONLY,single_joint_retention,5.0,0,0.0,-1.0,-2.5815234619924796e-05,-2.2665318521361,-2.4373367846016065,-2.0801188278294362,0.0021007683300360265,-3.1264472547289475,-3.2741975736273403,-2.9785407519840756,0.3944822949510537,-0.4562491966173813,-0.5403669791792309,-0.37896294210338777
9201,J06_ONLY,single_joint_retention,6.0,0,0.0,-1.0,-0.0011106682392440649,-2.2676167051407243,-2.4458561395076757,-2.080144225067045,0.04604390374165654,-3.082504119317327,-3.23017546734927,-2.9339452655482714,0.6069059373582751,-0.24382555421015978,-0.2626624103651575,-0.22251471208905743
9201,J07_ONLY,single_joint_retention,7.0,0,0.0,-1.0,-0.00260076356129783,-2.2691068004627777,-2.441936539810872,-2.078091916193227,0.008725433265821116,-3.1198225897931624,-3.267712249772172,-2.9778372873233634,0.5102878108179432,-0.3404436807504919,-0.3580134826308549,-0.3201403071711976
9201,J08_ONLY,single_joint_retention,8.0,0,0.0,-1.0,-0.011204564181987845,-2.277710601083468,-2.4566811172840146,-2.0866275576120143,0.019174495984024927,-3.109373527074959,-3.2570375255753516,-2.959228509183142,0.45720338618204026,-0.3935281053863947,-0.4100943847084298,-0.3737875471673966
