condition_id,family,episode_count,training_seed_count,success_episodes,success_rate,successful_training_seeds_ge_10of20,success_episodes_by_training_seed,forward_body_lengths_mean,forward_body_lengths_std,desired_net_rotation_degrees_mean,desired_net_rotation_degrees_std,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_std,roll_pulse_count_mean,roll_pulse_count_std,mean_roll_pulse_interval_steps_mean,mean_roll_pulse_interval_steps_std,tail_launch_count_mean,tail_launch_count_std,pulse_fail,rotation_fail,direction_fail,forward_fail,interval_fail
C11_J07_K1_TIME_PERMUTED,full_c11_channel_time_permuted,100,5,100,1.0,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.507943443623861,0.49182408208911754,962.4005605753212,156.6099787196083,0.9436254778822417,0.031095078775282465,14.62,2.217115242832451,63.61763902110962,10.125053243311662,7.38,1.4545102268461365,0,0,0,0,0
C11_J07_K2_ZERO,full_c11_channel_zero,100,5,100,1.0,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.8590440607387735,0.4681083633203337,972.3759548954398,121.47272395533457,0.9274787003376926,0.04293409764105174,14.82,1.856771391421141,62.33113230886759,8.4965625233612,7.57,1.8069587709740362,0,0,0,0,0
C11_J07_K2_SCALE_0P5,full_c11_channel_scale_0p5,100,5,100,1.0,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.652068411860281,0.49145596588134344,1003.3668021330693,166.10802711831482,0.939994133568817,0.04271891060451399,15.19,2.3987288300264376,61.36745721714646,11.190498440890302,7.68,1.6302147097851865,0,0,0,0,0
C11_J07_K2_SCALE_1P5,full_c11_channel_scale_1p5,100,5,99,0.99,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.1852976611974175,0.6298855956024894,908.5273342936323,206.28066139452503,0.9233883138449225,0.05302057366328619,13.81,3.0321444556617023,68.76776384236679,17.22176101222921,7.23,1.5417846801677595,0,1,1,0,0
C11_J07_K2_SIGN_FLIP,full_c11_channel_sign_flip,100,5,99,0.99,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.309345860138517,0.7120115642142723,841.3392655660625,219.2327056665806,0.8781386367093346,0.05999019212234305,12.83,3.25593304599465,73.84973920687156,20.389297162282435,6.79,1.5893080255255745,0,1,1,0,0
C11_J07_K2_STATIC_MEAN,full_c11_channel_static_mean,100,5,97,0.97,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":18,""9205"":20}",3.1289371157904213,0.8175429101504471,883.4811952339915,237.6839496327696,0.9057532665041168,0.07589293101342835,13.26,3.4340064065170295,73.17006312804843,26.070337101651695,6.94,1.58,0,3,2,1,0
C11_J07_K2_TIME_PERMUTED,full_c11_channel_time_permuted,100,5,96,0.96,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":17,""9205"":20}",3.1531317673629062,0.8548019470694662,887.370546141442,252.46864241343425,0.906007776789896,0.08999183574003265,13.45,3.742659482239868,73.19871420666875,42.30830969630804,6.99,1.8357287381309908,3,3,4,3,2
C11_J08_K1_ZERO,full_c11_channel_zero,100,5,72,0.72,3,"{""9201"":5,""9202"":20,""9203"":7,""9204"":20,""9205"":20}",2.5574480079246413,1.3902740884233917,725.9479477964018,420.95033367177075,0.8313187646537814,0.16884285533923588,10.88,6.155127943430582,74.32550271451976,43.72498211137838,5.99,3.2542126543912273,26,27,27,26,8
C11_J08_K1_SCALE_0P5,full_c11_channel_scale_0p5,100,5,99,0.99,5,"{""9201"":20,""9202"":20,""9203"":19,""9204"":20,""9205"":20}",3.300930161990918,0.7120803360865614,935.1794302423489,216.30424192614427,0.9291977449763319,0.04874668670946301,14.1,3.214031735997639,67.44182878469138,18.23783705832655,7.3,1.565247584249853,1,1,0,1,0
C11_J08_K1_SCALE_1P5,full_c11_channel_scale_1p5,100,5,97,0.97,5,"{""9201"":18,""9202"":20,""9203"":19,""9204"":20,""9205"":20}",3.3251349445208005,0.8453094029636612,917.6590031901178,229.993815429545,0.9176974365110365,0.07627012205805903,13.85,3.3207679834640658,66.67255608525461,16.209910685641034,7.1,1.6763054614240214,2,3,3,3,0
C11_J08_K1_SIGN_FLIP,full_c11_channel_sign_flip,100,5,35,0.35,2,"{""9201"":0,""9202"":4,""9203"":10,""9204"":20,""9205"":1}",1.4413551154935222,1.170964484155245,373.0708603810713,336.1926121961546,0.697511078829611,0.16479616100421504,5.91,4.98015060013249,62.14053717954817,36.04169211289645,3.45,2.725344014982329,54,61,63,54,10
C11_J08_K1_STATIC_MEAN,full_c11_channel_static_mean,100,5,99,0.99,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.4318843142811244,0.5936230496740568,962.3386896974439,171.54787656699776,0.9404843441532617,0.04320448987186219,14.48,2.4677114904299486,65.95827700687686,23.650809743522462,7.46,1.4520330574749325,0,1,1,1,1
C11_J08_K1_TIME_PERMUTED,full_c11_channel_time_permuted,100,5,97,0.97,5,"{""9201"":17,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.4276411239242517,0.7058742645477849,950.5450768149634,207.20983959793884,0.9280700347809837,0.06318765310157691,14.29,2.8992930172716247,69.73409237829594,32.67702527841592,7.43,1.5636815532582073,0,3,3,0,1
C11_J08_K2_ZERO,full_c11_channel_zero,100,5,85,0.85,4,"{""9201"":6,""9202"":19,""9203"":20,""9204"":20,""9205"":20}",3.260078266002639,1.314509534144547,872.7832483448075,333.3561026093504,0.8703924123093131,0.12994113247656042,13.42,5.04812836603825,57.710836312462874,11.511328699413369,6.55,2.46322958735072,14,14,15,14,1
C11_J08_K2_SCALE_0P5,full_c11_channel_scale_0p5,100,5,98,0.98,5,"{""9201"":18,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.2645165038704405,0.800883846488562,904.8063903418607,222.94185912194638,0.9118003110103992,0.07488853723769781,13.74,3.2422831461795565,67.40196720191574,16.713521968039238,7.33,1.6616558007000124,2,2,2,2,0
C11_J08_K2_SCALE_1P5,full_c11_channel_scale_1p5,100,5,97,0.97,5,"{""9201"":19,""9202"":20,""9203"":19,""9204"":19,""9205"":20}",3.299728411731687,0.7821503520264864,916.8009265242408,232.32317184936971,0.9154789389792195,0.07848357639893123,13.81,3.351701060655618,68.11826990982873,20.66224528460655,7.21,1.6266222671536252,1,2,3,1,0
C11_J08_K2_SIGN_FLIP,full_c11_channel_sign_flip,100,5,92,0.92,5,"{""9201"":14,""9202"":20,""9203"":19,""9204"":19,""9205"":20}",3.1664517505099594,1.0796226985673918,817.5376235554542,269.8027215127523,0.859262447798243,0.09639654975937086,12.57,3.9680095766013475,69.96112952044325,20.29167502013717,6.59,2.2498666627158155,6,6,8,6,1
C11_J08_K2_STATIC_MEAN,full_c11_channel_static_mean,100,5,91,0.91,5,"{""9201"":12,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.2576986674514608,1.0154067390140036,895.3890396067172,276.1325533853602,0.9070110469897371,0.11491105690317906,13.46,3.965904688718578,64.901340647098,14.021665393280141,6.72,1.9343215865000318,7,8,9,8,0
C11_J08_K2_TIME_PERMUTED,full_c11_channel_time_permuted,100,5,97,0.97,5,"{""9201"":18,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.379841270292937,0.7053879753898452,936.064668944382,197.28412277969764,0.9274966962957129,0.061660253895715854,14.09,2.912370168780061,66.60187670254582,17.234250751627847,7.15,1.4517231140957976,1,1,3,1,0
C11_PAIR_NEC_J01,c11_joint_pair_necessity,100,5,0,0.0,0,"{""9201"":0,""9202"":0,""9203"":0,""9204"":0,""9205"":0}",0.1074451376236355,0.16881024437138453,0.18858738947476614,1.0030221935117858,0.5035825838194321,0.027290316604551407,0.0,0.0,,,0.0,0.0,100,100,100,100,100
C11_PAIR_NEC_J02,c11_joint_pair_necessity,100,5,0,0.0,0,"{""9201"":0,""9202"":0,""9203"":0,""9204"":0,""9205"":0}",0.0356969177305341,0.06298039755072682,1.125089115256881,1.6572716245736856,0.5061984310294082,0.026995878022724306,0.0,0.0,,,0.0,0.0,100,100,100,100,100
C11_PAIR_NEC_J03,c11_joint_pair_necessity,100,5,0,0.0,0,"{""9201"":0,""9202"":0,""9203"":0,""9204"":0,""9205"":0}",0.06540178202950074,0.03776369567099259,7.733172654660214,0.5222421713122739,0.5572181235549535,0.12302779412636991,0.0,0.0,,,0.0,0.0,100,100,83,100,100
C11_PAIR_NEC_J04,c11_joint_pair_necessity,100,5,53,0.53,3,"{""9201"":14,""9202"":11,""9203"":5,""9204"":14,""9205"":9}",1.581193387648146,0.8147782559860006,375.29583824969586,200.16010060482103,0.7542601785740543,0.1014930879571974,5.82,3.118910066032684,104.76118080152169,59.297075373892504,3.59,1.8226080214900844,24,47,31,24,15
C11_PAIR_NEC_J05,c11_joint_pair_necessity,100,5,65,0.65,3,"{""9201"":17,""9202"":18,""9203"":6,""9204"":5,""9205"":19}",1.8136094797346758,0.9363230092588587,467.88655004048616,244.04496614040963,0.7907636595284195,0.12339973556929522,7.34,3.5446297408897305,116.79558381925403,86.108516191496,5.1,2.4269322199023193,13,34,26,20,11
C11_PAIR_NEC_J06,c11_joint_pair_necessity,100,5,71,0.71,4,"{""9201"":13,""9202"":20,""9203"":18,""9204"":0,""9205"":20}",2.409975978876165,1.426210758610551,588.7761079135797,352.54668415895503,0.8263745210673328,0.142150967918381,9.23,5.157237632686708,93.53776076667644,51.855989553984124,5.3,2.6702059845637374,19,28,20,22,18
C11_PAIR_NEC_J07,c11_joint_pair_necessity,100,5,93,0.93,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":20,""9205"":14}",3.0635034747442864,0.8512474114621926,852.4923953733169,255.1836723742363,0.9164010130447765,0.08127466811823783,13.09,3.715090846803077,73.43995119276482,35.73239155365339,6.7,1.7916472867168916,2,7,4,3,4
C11_PAIR_NEC_J08,c11_joint_pair_necessity,100,5,99,0.99,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.516033200420903,0.8000890472883766,945.855352821844,255.45352045847105,0.9308260346605586,0.06092758956062173,14.16,3.86450514296462,73.99091611939832,39.00311266268364,7.63,2.1337994282499935,0,1,0,0,1
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,100,5,38,0.38,2,"{""9201"":19,""9202"":0,""9203"":7,""9204"":0,""9205"":12}",2.025407494424452,0.9407291460028769,294.864608995894,319.52232326398297,0.6567410917377249,0.1530298135361263,4.39,4.799781245015235,95.68316826851309,42.82319838297293,2.67,2.767869216563528,55,61,58,6,43
C00_PAIR_SUFF_J02,c00_joint_pair_sufficiency,100,5,35,0.35,2,"{""9201"":12,""9202"":0,""9203"":3,""9204"":0,""9205"":20}",1.8502782556277966,1.0202385658802329,281.92014738980714,323.32052658517324,0.6507581240092557,0.15905170754550102,4.39,5.0455822260666805,93.70735866697406,44.86584209845187,2.65,3.0540956108150903,51,63,63,13,49
C00_PAIR_SUFF_J03,c00_joint_pair_sufficiency,100,5,40,0.4,2,"{""9201"":20,""9202"":0,""9203"":0,""9204"":0,""9205"":20}",2.394572571455051,1.252311866195439,457.3794978279267,513.4975516386381,0.6865773199558588,0.19472726492035047,6.97,7.959214785391835,70.89203058142004,40.22880177478855,3.63,4.1052527327802855,54,60,56,8,49
C00_PAIR_SUFF_J04,c00_joint_pair_sufficiency,100,5,35,0.35,2,"{""9201"":16,""9202"":0,""9203"":0,""9204"":0,""9205"":19}",1.7895426661583924,1.2525303485004113,239.65841209998845,312.09726867493396,0.625075843799045,0.15141361084364843,3.68,4.878278384840291,91.81327383442769,22.541490217988407,2.07,2.7649773959293045,62,64,65,33,61
C00_PAIR_SUFF_J05,c00_joint_pair_sufficiency,100,5,26,0.26,1,"{""9201"":7,""9202"":0,""9203"":0,""9204"":0,""9205"":19}",1.7908098179183307,0.9256250987948762,213.7439974467761,258.5229795409679,0.6307478296568013,0.13831130793889873,3.24,4.03514559836445,107.01023440383905,63.49219744123226,2.24,2.709686328710392,64,73,73,20,58
C00_PAIR_SUFF_J06,c00_joint_pair_sufficiency,100,5,40,0.4,2,"{""9201"":20,""9202"":0,""9203"":0,""9204"":0,""9205"":20}",1.6717035084038292,1.3562346688875306,328.108181645752,390.86829752154574,0.6989374518516257,0.17213112150019586,5.03,6.09172389394004,97.39639753337232,73.99347370644753,2.67,2.9259357477566046,60,60,48,40,60
C00_PAIR_SUFF_J07,c00_joint_pair_sufficiency,100,5,33,0.33,2,"{""9201"":18,""9202"":0,""9203"":0,""9204"":0,""9205"":15}",1.4690309814482416,1.0940343141496522,235.3992816895981,281.7868123878933,0.6582060312250961,0.15100834851253098,3.6,4.2895221179054435,121.09800368476837,50.73565897608208,2.23,2.6602819399454636,59,67,59,37,50
C00_PAIR_SUFF_J08,c00_joint_pair_sufficiency,100,5,43,0.43,2,"{""9201"":20,""9202"":0,""9203"":3,""9204"":0,""9205"":20}",2.186739794364273,0.834729705949358,328.1794448789285,343.25230399722216,0.681732568906806,0.1658052170004706,4.94,5.230334597327403,91.75315737721397,31.756218846469846,2.92,3.03539124331609,50,57,52,10,48
